"","ID","RunfileC","normd13CSP_DulpA","normd13C_DulpA","d13Csd_DuplA","normd13CSP_DulpB","normd13C_DulpB","d13Csd_DuplB","Sd","Mean","Number","RepSsrm"
"20","SPT245",181206,0,-26.98197801,0.076921625,0,-27.08162303,0.077234863,0.0704596693534695,-27.03180052,2,0.00496456500540025
"39","RYE245",181206,0,-25.84927837,0.073469486,0,-25.74805203,0.07317123,0.0715778314486952,-25.7986652,2,0.00512338595489782
"59","OAT245",181206,0,-27.49932387,0.078563626,0,-27.4895813,0.07853235,0.00688903731318478,-27.494452585,2,4.74588351024522e-05
"19","RYE230",181129,-25.2693468438969,-25.2694816905489,0.0779233373854412,-25.2883459797706,-25.2884814718613,0.0779912752820025,0.0134348742070586,-25.2789815812051,2,0.000180495844959489
"48","SPT230",181129,-27.1540929516111,-27.1542918268585,0.0850275779677408,-27.0888060750278,-27.0890027323494,0.0847701562261752,0.0461663614649146,-27.1216472796039,2,0.00213133293090916
"57","SPT230",181129,-27.0889114822292,-27.0891081431317,0.0847705712383296,-27.0269951455232,-27.0271897030038,0.0845271294549906,0.0437829488949318,-27.0581489230677,2,0.00191694661393621
"201","OAT260",181213,-27.302008064391,-27.302008064391,0.100742178225971,-27.400360914093,-27.400360914093,0.100956146012808,0.0695459669733053,-27.351184489242,2,0.00483664152225207
"44","RYE260",181213,-25.3303772190008,-25.3303772190008,0.0968747718348378,-25.3081754459002,-25.3081754459002,0.0968359928630547,0.0156990243137977,-25.3192763324505,2,0.000246459364405211
"61","SPT260",181213,-27.3279246401563,-27.3279246401563,0.100798373936745,-27.4596709588708,-27.4596709588708,0.101086100092979,0.0931587153593857,-27.3937977995135,2,0.00867854624741105
"202","OAT300",181219,-27.6614489602519,-27.6614489602519,0.0751825033499616,-27.5941695263548,-27.5941695263548,0.0750003913212108,0.0475737439430306,-27.6278092433033,2,0.00226326111275704
"441","RYE300",181219,-25.1190658491887,-25.1190658491887,0.0689743874200218,-25.0934247777872,-25.0934247777872,0.0689194477500799,0.0181309754648904,-25.1062453134879,2,0.000328732271308458
"611","SPT300",181219,-26.9435985009845,-26.9435985009845,0.0732862611715665,-26.8199353744437,-26.8199353744437,0.0729703260020332,0.0874430353597308,-26.8817669377141,2,0.00764628443292314
"203","RYE215",181031,-25.8203734839706,-25.8203734839706,0.0820870412636186,-25.7506900057392,-25.7506900057392,0.082038757134046,0.049273659994086,-25.7855317448549,2,0.0024278935692128
"37","SPT215",181031,-27.0645135558028,-27.0645135558028,0.0830410208589748,-27.0243260253327,-27.0243260253327,0.0830075173485178,0.0284168753145483,-27.0444197905678,2,0.000807518802642583
"58","SPT215",181031,-27.4519716037845,-27.4519716037845,0.0833730977540591,-27.3199452289731,-27.3199452289731,0.0832581038843356,0.0933567449246173,-27.3859584163788,2,0.00871548182292007
"62","STM003",181031,-23.5995193594941,-23.5995193594941,0.0808245024314553,-23.5209023280128,-23.5209023280128,0.0807904274074554,0.055590636077184,-23.5602108437534,2,0.00309031881946591
"64","STM013",181031,-23.168726653583,-23.168726653583,0.0806468379065672,-22.9229831055409,-22.9229831055409,0.0805554416406105,0.173766929253411,-23.045854879562,2,0.0301949457021599
"67","STM020",181031,-25.6576816351308,-25.6576816351308,0.0819751724312388,-25.6917003643597,-25.6917003643597,0.0819983148032348,0.0240548741251049,-25.6746909997453,2,0.000578636969174639
"70","STM021",181031,-21.9862503242181,-21.9862503242181,0.080273831977819,-21.9374666240609,-21.9374666240609,0.0802620781931666,0.0344952851925286,-21.9618584741395,2,0.00118992470051389
"26","YAR001",190402,-22.5368375303903,-22.5368375303903,0.0525162236010534,-22.5808060233375,-22.5808060233375,0.0526316257235773,0.0310904195215186,-22.5588217768639,2,0.000966614186024025
"16","RC2018",190308,-26.0140117997204,-26.0140117997204,0.0736103628032366,-26.1417924091856,-26.1417924091856,0.0737532831174731,0.0903545354569939,-26.077902104453,2,0.00816394207764916
"43","WHXX3D",190308,-25.0224240740933,-25.0224240740933,0.072810502409529,-25.0206860618929,-25.0206860618929,0.0728095874998036,0.00122896021268923,-25.0215550679931,2,1.51034320437317e-06
