"","Standard","Number","d15Nmean","d15Nsd","Session","srm"
"1","N1",4,0.408885282938204,0.358785887535419,"190405",0.386181939283736
"2","N2",3,20.2881529560824,0.400218522957791,"190405",0.320349732237032
"3","P2",3,-0.888970524342698,0.169103560180413,"190405",0.057192028131381
"4","SALANINE",5,-1.19511037231075,0.154405146545479,"190405",0.0953637971189233
"5","N1",5,0.409655526659189,0.339058660256764,"190322",0.459843100380447
"6","N2",6,20.291953727784,0.316236367691602,"190322",0.500027201253892
"7","P2",5,-1.10481672209973,0.0611904243129146,"190322",0.0149770721103781
"8","SALANINE",12,-1.19242980766052,0.207245991861771,"190322",0.472459912570463
"9","N1",6,0.402559008959144,0.147348614879737,"190222",0.108558071534886
"10","N2",6,20.2974409910409,0.198448489974284,"190222",0.196909015865367
"11","P2",6,-1.37564942684484,0.0729450426883448,"190222",0.0266048962640222
"12","SALANINE",12,-1.4274089819368,0.144913330594726,"190222",0.230998607224619
"13","N1",4,0.40722137965661,0.155381899857656,"190208",0.0724306044101242
"14","N2",6,20.2951857468956,0.316873337711368,"190208",0.502043560761714
"15","P2",4,-1.06856582910611,0.100520106609145,"190208",0.0303128754981419
"16","SALANINE",8,-1.27673065692427,0.190054080832264,"190208",0.252843875486977
"17","N1",2,0.402964379062715,0.00558433124041169,"200825",3.1184755402638e-05
"18","N2",2,20.2970356209373,0.343388922022432,"200825",0.117915951767728
"19","P2",3,-1.29932593934407,0.21710024816072,"200825",0.094265035502892
"20","SALANINE",5,-1.30194205117756,0.297567555125677,"200825",0.354185799453892
"21","N1",5,0.418014054329269,0.343369747839204,"181210",0.471611134924635
"22","N2",5,20.2819859456707,0.573921207419697,"181210",1.31754220930433
"23","P2",4,-0.852258134192208,0.164154199530978,"181210",0.080839803670968
"24","SALANINE",8,-0.949110300784527,0.168131251008767,"181210",0.197876822960411
"25","LEU",4,6.81474153075,0.145436270372924,"200827",0.0634551262199587
"26","P2",4,-1.56378707225,0.372216991353996,"200827",0.415636465957863
"27","SALANINE",8,-1.463014561125,0.264834831174958,"200827",0.490962414624278
"28","SEAL",4,16.2937870725,0.0968758949119969,"200827",0.0281548170450008
"29","N1",3,0.400534654659022,0.0287083967836201,"181112",0.00164834409177153
"30","N2",3,20.299465345341,0.123021997866855,"181112",0.030268823918305
"31","P2",5,-0.625177346301098,0.206815985719501,"181112",0.171091407796515
"32","SALANINE",7,-0.954473036507046,0.209016631926606,"181112",0.262127714531653
"33","N1",4,0.410076385595173,0.307239818433329,"190214",0.283188918092835
"34","N2",5,20.2919388915239,0.359916772930695,"190214",0.518160333747382
"35","P2",4,-1.24695088661209,0.162068509522035,"190214",0.0787986053360816
"36","SALANINE",8,-1.23220820394923,0.206058241443239,"190214",0.297219992066762
