"","Standard","Number","d15Nmean","d15Nsd","Session","srm","known","knownsd","Diff_measured_known"
"3","P2",3,-0.888970524342698,0.169103560180413,"190405",0.057192028131381,-1.57,0.19,0.681029475657302
"4","SALANINE",5,-1.19511037231075,0.154405146545479,"190405",0.0953637971189233,-1.57,0.21,0.374889627689246
"7","P2",5,-1.10481672209973,0.0611904243129146,"190322",0.0149770721103781,-1.57,0.19,0.465183277900274
"8","SALANINE",12,-1.19242980766052,0.207245991861771,"190322",0.472459912570463,-1.57,0.21,0.377570192339478
"11","P2",6,-1.37564942684484,0.0729450426883448,"190222",0.0266048962640222,-1.57,0.19,0.19435057315516
"12","SALANINE",12,-1.4274089819368,0.144913330594726,"190222",0.230998607224619,-1.57,0.21,0.142591018063204
"15","P2",4,-1.06856582910611,0.100520106609145,"190208",0.0303128754981419,-1.57,0.19,0.501434170893892
"16","SALANINE",8,-1.27673065692427,0.190054080832264,"190208",0.252843875486977,-1.57,0.21,0.293269343075734
"19","P2",3,-1.29932593934407,0.21710024816072,"200825",0.094265035502892,-1.57,0.19,0.27067406065593
"20","SALANINE",5,-1.30194205117756,0.297567555125677,"200825",0.354185799453892,-1.57,0.21,0.268057948822436
"23","P2",4,-0.852258134192208,0.164154199530978,"181210",0.080839803670968,-1.57,0.19,0.717741865807792
"24","SALANINE",8,-0.949110300784527,0.168131251008767,"181210",0.197876822960411,-1.57,0.21,0.620889699215473
"25","LEU",4,6.81474153075,0.145436270372924,"200827",0.0634551262199587,6.36,0.14,0.45474153075
"27","SALANINE",8,-1.463014561125,0.264834831174958,"200827",0.490962414624278,-1.57,0.21,0.106985438875
"31","P2",5,-0.625177346301098,0.206815985719501,"181112",0.171091407796515,-1.57,0.19,0.944822653698902
"32","SALANINE",7,-0.954473036507046,0.209016631926606,"181112",0.262127714531653,-1.57,0.21,0.615526963492954
"35","P2",4,-1.24695088661209,0.162068509522035,"190214",0.0787986053360816,-1.57,0.19,0.323049113387915
"36","SALANINE",8,-1.23220820394923,0.206058241443239,"190214",0.297219992066762,-1.57,0.21,0.337791796050775
